nom	sku	prix_ht	pack_nom	pack_qte	pack_unite
BAGUE TFB BOWL 900ML	TFBBAGUEBOL900D183	101.42	CARTON(S) DE 1000 UNITES	1000	unit
BOÎTE 1X ECLAIR TFB	STARDSBECLAIR1605050	98.1	BOITE(S) DE 900PCE	900	à l'unité
BOITE 1X PATISSERIE TFB	TFBBPOIGNEE11010560	59.5	CARTON(S) DE 500PCE	500	à l'unité
BOITE 2X PATISSERIE TFB	TFBBPOIGNEE18010060	0.159	CARTON(S) DE 500PCE	500	à l'unité
BOITE 4X BMC TFB	TFBBMAC4BMC	160	à l'unité	1	unit
BOITE 6X PATISSERIE NEUTRE	BPAT252508CB260GRSI	14.85	CARTON(S) DE 50	50	à l'unité
BOITE 6X PATISSERIE TFB	TFBBPAT222210	0.439	CARTON(S) DE 100	100	à l'unité
BOITE 8X BMC TFB	TFBBMAC8BMC	153.4	CARTON(S) DE 100PCE	100	à l'unité
BOITES A CAKES TFB	TFB+++32251029-00	0.568	CARTON(S) DE 5000 BOITES	5000	à l'unité
BOUTEILLE PET 25CL + BOUCHON NOIR	?	14.95	CARTON(S) DE 270PCE	270	à l'unité
BOWL 900 ML KRAFT D183	BOL900D183KF	35.996	CARTON(S) DE 300 UNITES	300	unit
CALISTO MUG H10 SABLE CREME	Casacm10	31.5	CARTON(S) DE 6 UNITES	6	a l'unité
CALISTO TASSE H5,5 SABLE CREME	Casact05	42	CARTON(S) DE 12 UNITES	12	a l'unité
COUVERCLE GOBELET 10CL	COUVGOB4OZØ62	27.97	CARTON(S) DE 1000PCE	1000	à l'unité
COUVERCLE GOBELET 25CL	COUVGOB8OZØ80	44.56	CARTON(S) DE 1000PCE	1000	à l'unité
COUVERCLE GOBELET 35CL	CVGOBD90BLC	55	CARTON(S) DE 1000PCE	1000	à l'unité
ETIQUETTES EN ROULEAU 45X45MM CAKE MARBRE	TFB+++51260319-00	0	à l'unité	1	unit
ETIQUETTES EN ROULEAU 45X45MM CAKE PRALINE AMANDE	TFB+++51260319-00	0	à l'unité	1	unit
ETIQUETTES EN ROULEAU 45X45MM CAKE VANILLE CARAMEL	TFB+++51260319-00	0	à l'unité	1	unit
GOBELET 10CL TFB	TFBGOB4OZD62	24.85	CARTON(S) DE 1000PCE	1000	à l'unité
GOBELET 25CL TFB	TFBGOB8OZD80	46.69	CARTON(S) DE 1000	1000	à l'unité
GOBELET 35CL NEUTRE		54	CARTON(S) DE 1000	1000	à l'unité
GRAND SAC PAIN TRANCHE TFB 22x12x40CM	TFBSSOS221240	37.855	CARTON(S) DE 500PCE	500	à l'unité
INVENTAIRE - COFANETTO CAKE CARTONCINO	TFB+++32251029-00	0	CARTON(S) DE 2500 CARTONCINO	2500	à l'unité
INVENTAIRE - COFANETTO CAKE FASCIA	TFB+++32251029-00	0	CARTON(S) DE 250 FASCIA	250	à l'unité
INVENTAIRE - COFANETTO CAKE FONDO	TFB+++32251029-00	0	CARTON(S) DE 300 FONDO	300	à l'unité
KIT 2/1 EN BOIS (FOURCHETTE / COUTEAU)	WEKIT2EN1BOIS	52.52	CARTON(S) DE 1000 PCS	1	unit
MUG AUBE H10CM	AUBKAM10	120.78	CARTON(S) DE 18PCE	18	unit
PAPIER INGRAISSABLE 900x1000 MM KRAFT	PAPING9001000KF	60.88	CARTON DE 300 UNITES	1	unit
PAPIER SANDWICH INGRAISSABLE TFB	TFBPAP3040ING	51.9	CARTON(S) DE 10KG	10	au kilogramme
PETIT SAC PAIN TRANCHE TFB 22x12x25CM	TFBSSOS220120250	26.4	CARTON(S) DE 500PCE	500	à l'unité
PORTE GOBELET	PORTEGOB24	51.6	CARTON(S) DE 400PCE	400	à l'unité
ROULEAU PAIN PAPIER ALIMENTAIRE TFB	BASTARDSBOBINE50CM	31.945	ROULEAU(X)	1	unit
SAC CABAS TFB 26X17X29CM	TFBSCAB261729CMYK	22.25	CARTON(S) DE 250PCE	250	à l'unité
SAC CROISSANT T1 TFB 14X8X22CM	TFBSCRO14080220	16.75	CARTON(S) DE 1000PCE	1000	à l'unité
SAC CROISSANT T2 TFB 18X8X31CM	TFBSCRO18080310	24.17	CARTON(S) DE 1000PCE	1000	à l'unité
SAC CROISSANT T3 TFB 19X8X33CM	TFBSCRO19080330	27.34	CARTON(S) DE 1000PCE	1000	à l'unité
SAC GRANDS GATEAUX	TFBSLUX252530	0.539	CARTON(S) DE 100PCE	100	à l'unité
SACHET BAGUETTE TFB	FRENCHBASTARFDSSBAG	15.9	CARTON(S) DE 1000PCE	1000	à l'unité
SACHET GALETTES TFB X ISIGNY		0	à l'unité	1	unit
SERVIETTE TFB	TFBSERV300300	48.8	CARTON(S) DE 3200	3200	à l'unité
TASSE AUBE H7CM	AUBKAT07	78.84	CARTON(S) DE 18PCE	18	unit
TOTE BAGUETTE TFB	FRENCHBASTARDSSTJ	134.5	CARTON(S) DE 50	50	à l'unité
