nom	fournisseur	ingredient	categorie	sous_categorie	prix_ht	dispo
BAGUE TFB BOWL 900ML	WELLEMBAL	-	PACKAGING	PACKAGING TFB	101.42	2/2
BOÎTE 1X ECLAIR TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	98.10	17/17
BOITE 1X PATISSERIE TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	59.50	17/17
BOITE 2X PATISSERIE TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	0.16	17/17
BOITE 4X BMC TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	160.00	0/18
BOITE 6X PATISSERIE NEUTRE	WELLEMBAL	-	PACKAGING	PACKAGING TFB	14.85	17/18
BOITE 6X PATISSERIE TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	0.44	1/1
BOITE 8X BMC TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	153.40	0/17
BOITES A CAKES TFB	LITOGRAF	-	PACKAGING	PACKAGING TFB	0.57	2/2
BOUTEILLE PET 25CL + BOUCHON NOIR	WELLEMBAL	BOUTEILLE 25CL AVEC BOUCHON NOIR	PACKAGING	PACKAGING TFB	14.95	1/1
BOWL 900 ML KRAFT D183	WELLEMBAL	-	PACKAGING	PACKAGING TFB	36.00	2/2
CALISTO MUG H10 SABLE CREME	GOBERLOTE	-	PACKAGING	PACKAGING TFB	31.50	10/10
CALISTO TASSE H5,5 SABLE CREME	GOBERLOTE	-	PACKAGING	PACKAGING TFB	42.00	10/10
COUVERCLE GOBELET 10CL	WELLEMBAL	-	PACKAGING	PACKAGING TFB	27.97	17/17
COUVERCLE GOBELET 25CL	WELLEMBAL	-	PACKAGING	PACKAGING TFB	44.56	17/17
COUVERCLE GOBELET 35CL	WELLEMBAL	-	PACKAGING	PACKAGING TFB	55.00	5/5
ETIQUETTES EN ROULEAU 45X45MM CAKE MARBRE	LITOGRAF	-	PACKAGING	PACKAGING TFB	0.00	2/2
ETIQUETTES EN ROULEAU 45X45MM CAKE PRALINE AMANDE	LITOGRAF	-	PACKAGING	PACKAGING TFB	0.00	2/2
ETIQUETTES EN ROULEAU 45X45MM CAKE VANILLE CARAMEL	LITOGRAF	-	PACKAGING	PACKAGING TFB	0.00	2/2
GOBELET 10CL TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	24.85	17/17
GOBELET 25CL TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	46.69	17/17
GOBELET 35CL NEUTRE	WELLEMBAL	-	PACKAGING	PACKAGING TFB	54.00	6/6
GRAND SAC PAIN TRANCHE TFB 22x12x40CM	WELLEMBAL	-	PACKAGING	PACKAGING TFB	37.85	14/17
INVENTAIRE - COFANETTO CAKE CARTONCINO	LITOGRAF	-	PACKAGING	PACKAGING TFB	0.00	2/2
INVENTAIRE - COFANETTO CAKE FASCIA	LITOGRAF	-	PACKAGING	PACKAGING TFB	0.00	2/2
INVENTAIRE - COFANETTO CAKE FONDO	LITOGRAF	-	PACKAGING	PACKAGING TFB	0.00	2/2
KIT 2/1 EN BOIS (FOURCHETTE / COUTEAU)	WELLEMBAL	-	PACKAGING	PACKAGING TFB	52.52	0/19
MUG AUBE H10CM	GOBERLOTE	-	PACKAGING	PACKAGING TFB	120.78	10/10
PAPIER INGRAISSABLE 900x1000 MM KRAFT	WELLEMBAL	-	PACKAGING	PACKAGING TFB	60.88	14/14
PAPIER SANDWICH INGRAISSABLE TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	51.90	18/18
PETIT SAC PAIN TRANCHE TFB 22x12x25CM	WELLEMBAL	-	PACKAGING	PACKAGING TFB	26.40	15/18
PORTE GOBELET	WELLEMBAL	-	PACKAGING	PACKAGING TFB	51.60	17/17
ROULEAU PAIN PAPIER ALIMENTAIRE TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	31.95	2/5
SAC CABAS TFB 26X17X29CM	WELLEMBAL	-	PACKAGING	PACKAGING TFB	22.25	17/18
SAC CROISSANT T1 TFB 14X8X22CM	WELLEMBAL	-	PACKAGING	PACKAGING TFB	16.75	17/18
SAC CROISSANT T2 TFB 18X8X31CM	WELLEMBAL	-	PACKAGING	PACKAGING TFB	24.17	17/18
SAC CROISSANT T3 TFB 19X8X33CM	WELLEMBAL	-	PACKAGING	PACKAGING TFB	27.34	17/18
SAC GRANDS GATEAUX	WELLEMBAL	-	PACKAGING	PACKAGING TFB	0.54	0/0
SACHET BAGUETTE TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	15.90	17/18
SACHET GALETTES TFB X ISIGNY	WELLEMBAL	-	PACKAGING	PACKAGING TFB	0.00	17/17
SERVIETTE TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	48.80	17/17
TASSE AUBE H7CM	GOBERLOTE	-	PACKAGING	PACKAGING TFB	78.84	10/10
TOTE BAGUETTE TFB	WELLEMBAL	-	PACKAGING	PACKAGING TFB	134.50	0/17
